accuracy,val_accuracy,loss,val_loss
0.16366752982139587,0.27966102957725525,3.016615867614746,2.4706623554229736
0.266923725605011,0.35169491171836853,2.4921765327453613,2.1767656803131104
0.3089117407798767,0.402542382478714,2.284000873565674,2.0060677528381348
0.3457583487033844,0.43644067645072937,2.158890962600708,1.8713756799697876
0.36675235629081726,0.43644067645072937,2.0337636470794678,1.7218058109283447
0.37703514099121094,0.43644067645072937,2.000148057937622,1.7817848920822144
0.3971722424030304,0.41101694107055664,1.9605342149734497,1.7207138538360596
0.40659812092781067,0.4618644118309021,1.926339864730835,1.6571025848388672
0.4263067841529846,0.43220338225364685,1.871856927871704,1.7273024320602417
0.42802056670188904,0.4576271176338196,1.8463164567947388,1.6782135963439941
0.44344472885131836,0.48728814721107483,1.8230512142181396,1.6004902124404907
0.44087404012680054,0.48728814721107483,1.803186058998108,1.6123247146606445
0.4348757565021515,0.47457626461982727,1.7934744358062744,1.6014268398284912
0.4455869793891907,0.47457626461982727,1.7638412714004517,1.609848141670227
0.4605827033519745,0.5,1.756806492805481,1.5570882558822632
0.45372751355171204,0.5,1.71233332157135,1.571975588798523
0.46786633133888245,0.4830508530139923,1.6870906352996826,1.555209755897522
0.4760068655014038,0.4957627058029175,1.6815426349639893,1.5501137971878052
0.46786633133888245,0.47033897042274475,1.6773895025253296,1.6845805644989014
0.4734361469745636,0.47033897042274475,1.6888706684112549,1.540623426437378
0.344901442527771,0.48728814721107483,2.1991868019104004,1.566775918006897
0.39374464750289917,0.49152541160583496,2.0193514823913574,1.5933269262313843
0.41773778200149536,0.5,1.9143590927124023,1.5779169797897339
0.44301629066467285,0.4957627058029175,1.8241431713104248,1.5849989652633667
0.4383033514022827,0.49152541160583496,1.7920002937316895,1.5848143100738525
0.44044557213783264,0.5127118825912476,1.8297810554504395,1.5766521692276
0.4524421691894531,0.5211864113807678,1.7749818563461304,1.573042392730713
0.4361611008644104,0.5254237055778503,1.8075343370437622,1.5770176649093628
0.45501285791397095,0.5169491767883301,1.783421516418457,1.5805373191833496
